Method 1,Method 2,p,Significance,Metric,Test Set
1DCNN,1DCNN,,,RMSE,19SC1
AttentiveFP,AttentiveFP,,,RMSE,19SC1
GAT,GAT,,,RMSE,19SC1
GATv2,GATv2,,,RMSE,19SC1
GCN,GCN,,,RMSE,19SC1
LightGBM,LightGBM,,,RMSE,19SC1
MPNN,MPNN,,,RMSE,19SC1
XGBoost,XGBoost,,,RMSE,19SC1
1DCNN,AttentiveFP,0.00E+00,***,RMSE,19SC1
1DCNN,GAT,9.46E-01,,RMSE,19SC1
1DCNN,GATv2,3.72E-12,***,RMSE,19SC1
1DCNN,GCN,0.00E+00,***,RMSE,19SC1
1DCNN,LightGBM,0.00E+00,***,RMSE,19SC1
1DCNN,MPNN,0.00E+00,***,RMSE,19SC1
1DCNN,XGBoost,0.00E+00,***,RMSE,19SC1
AttentiveFP,GAT,1.78E-15,***,RMSE,19SC1
AttentiveFP,GATv2,6.91E-04,***,RMSE,19SC1
AttentiveFP,GCN,1,,RMSE,19SC1
AttentiveFP,LightGBM,0.017018,*,RMSE,19SC1
AttentiveFP,MPNN,0.000011,***,RMSE,19SC1
AttentiveFP,XGBoost,0.000011,***,RMSE,19SC1
GAT,GATv2,2.75E-09,***,RMSE,19SC1
GAT,GCN,1.78E-15,***,RMSE,19SC1
GAT,LightGBM,0,***,RMSE,19SC1
GAT,MPNN,0,***,RMSE,19SC1
GAT,XGBoost,0,***,RMSE,19SC1
GATv2,GCN,6.91E-04,***,RMSE,19SC1
GATv2,LightGBM,0.123191,,RMSE,19SC1
GATv2,MPNN,0,***,RMSE,19SC1
GATv2,XGBoost,0,***,RMSE,19SC1
GCN,LightGBM,0.017018,*,RMSE,19SC1
GCN,MPNN,0.000011,***,RMSE,19SC1
GCN,XGBoost,0.000011,***,RMSE,19SC1
LightGBM,MPNN,0,***,RMSE,19SC1
LightGBM,XGBoost,0,***,RMSE,19SC1
MPNN,XGBoost,1,,RMSE,19SC1
1DCNN,1DCNN,,,R$^2$,19SC1
AttentiveFP,AttentiveFP,,,R$^2$,19SC1
GAT,GAT,,,R$^2$,19SC1
GATv2,GATv2,,,R$^2$,19SC1
GCN,GCN,,,R$^2$,19SC1
LightGBM,LightGBM,,,R$^2$,19SC1
MPNN,MPNN,,,R$^2$,19SC1
XGBoost,XGBoost,,,R$^2$,19SC1
1DCNN,AttentiveFP,8.88E-16,***,R$^2$,19SC1
1DCNN,GAT,8.67E-01,,R$^2$,19SC1
1DCNN,GATv2,2.55E-08,***,R$^2$,19SC1
1DCNN,GCN,8.88E-16,***,R$^2$,19SC1
1DCNN,LightGBM,0,***,R$^2$,19SC1
1DCNN,MPNN,0,***,R$^2$,19SC1
1DCNN,XGBoost,0,***,R$^2$,19SC1
AttentiveFP,GAT,6.22E-15,***,R$^2$,19SC1
AttentiveFP,GATv2,1.54E-04,***,R$^2$,19SC1
AttentiveFP,GCN,1.00E+00,,R$^2$,19SC1
AttentiveFP,LightGBM,0.004961,**,R$^2$,19SC1
AttentiveFP,MPNN,0.000008,***,R$^2$,19SC1
AttentiveFP,XGBoost,0.000008,***,R$^2$,19SC1
GAT,GATv2,3.01E-06,***,R$^2$,19SC1
GAT,GCN,6.22E-15,***,R$^2$,19SC1
GAT,LightGBM,0,***,R$^2$,19SC1
GAT,MPNN,0,***,R$^2$,19SC1
GAT,XGBoost,0,***,R$^2$,19SC1
GATv2,GCN,1.54E-04,***,R$^2$,19SC1
GATv2,LightGBM,0.090376,,R$^2$,19SC1
GATv2,MPNN,0,***,R$^2$,19SC1
GATv2,XGBoost,0,***,R$^2$,19SC1
GCN,LightGBM,0.004961,**,R$^2$,19SC1
GCN,MPNN,0.000008,***,R$^2$,19SC1
GCN,XGBoost,0.000008,***,R$^2$,19SC1
LightGBM,MPNN,0,***,R$^2$,19SC1
LightGBM,XGBoost,0,***,R$^2$,19SC1
MPNN,XGBoost,1,,R$^2$,19SC1
1DCNN,1DCNN,,,RMSE,19SC2
AttentiveFP,AttentiveFP,,,RMSE,19SC2
GAT,GAT,,,RMSE,19SC2
GATv2,GATv2,,,RMSE,19SC2
GCN,GCN,,,RMSE,19SC2
LightGBM,LightGBM,,,RMSE,19SC2
MPNN,MPNN,,,RMSE,19SC2
XGBoost,XGBoost,,,RMSE,19SC2
1DCNN,AttentiveFP,8.64E-03,**,RMSE,19SC2
1DCNN,GAT,9.81E-07,***,RMSE,19SC2
1DCNN,GATv2,0.00E+00,***,RMSE,19SC2
1DCNN,GCN,0.00E+00,***,RMSE,19SC2
1DCNN,LightGBM,0.00E+00,***,RMSE,19SC2
1DCNN,MPNN,0.00E+00,***,RMSE,19SC2
1DCNN,XGBoost,0.00E+00,***,RMSE,19SC2
AttentiveFP,GAT,1.00E+00,,RMSE,19SC2
AttentiveFP,GATv2,8.88E-16,***,RMSE,19SC2
AttentiveFP,GCN,2.32E-01,,RMSE,19SC2
AttentiveFP,LightGBM,0.00E+00,***,RMSE,19SC2
AttentiveFP,MPNN,1.95E-14,***,RMSE,19SC2
AttentiveFP,XGBoost,0.00E+00,***,RMSE,19SC2
GAT,GATv2,0.00E+00,***,RMSE,19SC2
GAT,GCN,1.36E-01,,RMSE,19SC2
GAT,LightGBM,0.00E+00,***,RMSE,19SC2
GAT,MPNN,0.00E+00,***,RMSE,19SC2
GAT,XGBoost,0,***,RMSE,19SC2
GATv2,GCN,0.00E+00,***,RMSE,19SC2
GATv2,LightGBM,4.20E-07,***,RMSE,19SC2
GATv2,MPNN,0.00E+00,***,RMSE,19SC2
GATv2,XGBoost,0.001264,**,RMSE,19SC2
GCN,LightGBM,0.00E+00,***,RMSE,19SC2
GCN,MPNN,3.38E-14,***,RMSE,19SC2
GCN,XGBoost,0,***,RMSE,19SC2
LightGBM,MPNN,0.00E+00,***,RMSE,19SC2
LightGBM,XGBoost,0.011903,*,RMSE,19SC2
MPNN,XGBoost,0,***,RMSE,19SC2
1DCNN,1DCNN,,,R$^2$,19SC2
AttentiveFP,AttentiveFP,,,R$^2$,19SC2
GAT,GAT,,,R$^2$,19SC2
GATv2,GATv2,,,R$^2$,19SC2
GCN,GCN,,,R$^2$,19SC2
LightGBM,LightGBM,,,R$^2$,19SC2
MPNN,MPNN,,,R$^2$,19SC2
XGBoost,XGBoost,,,R$^2$,19SC2
1DCNN,AttentiveFP,7.57E-03,**,R$^2$,19SC2
1DCNN,GAT,8.34E-07,***,R$^2$,19SC2
1DCNN,GATv2,2.38E-05,***,R$^2$,19SC2
1DCNN,GCN,0.00E+00,***,R$^2$,19SC2
1DCNN,LightGBM,0,***,R$^2$,19SC2
1DCNN,MPNN,0.00E+00,***,R$^2$,19SC2
1DCNN,XGBoost,0,***,R$^2$,19SC2
AttentiveFP,GAT,1.00E+00,,R$^2$,19SC2
AttentiveFP,GATv2,7.68E-08,***,R$^2$,19SC2
AttentiveFP,GCN,3.17E-01,,R$^2$,19SC2
AttentiveFP,LightGBM,0,***,R$^2$,19SC2
AttentiveFP,MPNN,5.77E-14,***,R$^2$,19SC2
AttentiveFP,XGBoost,0,***,R$^2$,19SC2
GAT,GATv2,8.67E-09,***,R$^2$,19SC2
GAT,GCN,1.49E-01,,R$^2$,19SC2
GAT,LightGBM,0,***,R$^2$,19SC2
GAT,MPNN,8.88E-16,***,R$^2$,19SC2
GAT,XGBoost,0,***,R$^2$,19SC2
GATv2,GCN,1.75E-10,***,R$^2$,19SC2
GATv2,LightGBM,0.999999,,R$^2$,19SC2
GATv2,MPNN,0.00E+00,***,R$^2$,19SC2
GATv2,XGBoost,1,,R$^2$,19SC2
